product_key,product_name,product_category,product_subcategory,product_container,product_base_margin
41,Computer Printout Paper with Letter-Trim Perforations,Office Supplies,Paper,Small Box,0.37
42,6160,Technology,Telephones and Communication,Small Box,0.57
43,Avery 49,Office Supplies,Labels,Small Box,0.36
44,Hoover Portapower Portable Vacuum,Office Supplies,Appliances,Large Box,0.6
45,Timeport L7089,Technology,Telephones and Communication,Small Box,0.58
46,Avery 510,Office Supplies,Labels,Small Box,0.37
47,Xerox 1881,Office Supplies,Paper,Small Box,0.38
48,"Memorex 4.7GB DVD-RAM, 3/Pack",Technology,Computer Peripherals,Small Pack,0.42
49,Unpadded Memo Slips,Office Supplies,Paper,Wrap Bag,0.35
50,"Adams Telephone Message Book W/Dividers/Space For Phone Numbers, 5 1/4""X8 1/2"", 300/Messages",Office Supplies,Paper,Wrap Bag,0.36
51,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",Furniture,Office Furnishings,Small Box,0.55
52,Bell Sonecor JB700 Caller ID,Technology,Telephones and Communication,Medium Box,0.6
53,Avery Arch Ring Binders,Office Supplies,Binders and Binder Accessories,Small Box,0.38
54,APC 7 Outlet Network SurgeArrest Surge Protector,Office Supplies,Appliances,Small Box,0.55
55,"Deflect-o RollaMat Studded, Beveled Mat for Medium Pile Carpeting",Furniture,Office Furnishings,Medium Box,0.67
56,Accessory4,Technology,Telephones and Communication,Wrap Bag,0.85
57,Personal Creations Ink Jet Cards and Labels,Office Supplies,Paper,Small Box,0.36
58,High Speed Automatic Electric Letter Opener,Office Supplies,"Scissors, Rulers and Trimmers",Medium Box,0.81
59,Xerox 1966,Office Supplies,Paper,Small Box,0.36
60,Xerox 213,Office Supplies,Paper,Small Box,0.37
61,"Boston Electric Pencil Sharpener, Model 1818, Charcoal Black",Office Supplies,Pens & Art Supplies,Small Pack,0.57
62,Hammermill CopyPlus Copy Paper (20Lb. and 84 Bright),Office Supplies,Paper,Small Box,0.36
63,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",Office Supplies,Paper,Wrap Bag,0.39
64,Crate-A-Files,Office Supplies,Storage & Organization,Small Box,0.59
65,"80 Minute CD-R Spindle, 100/Pack - Staples",Technology,Computer Peripherals,Small Pack,0.54
66,"Bush Westfield Collection Bookcases, Dark Cherry Finish, Fully Assembled",Furniture,Bookcases,Jumbo Box,0.78
67,12-1/2 Diameter Round Wall Clock,Furniture,Office Furnishings,Small Box,0.49
68,SAFCO Arco Folding Chair,Furniture,Chairs & Chairmats,Large Box,0.6
69,"#10 White Business Envelopes,4 1/8 x 9 1/2",Office Supplies,Envelopes,Small Box,0.38
70,3M Office Air Cleaner,Office Supplies,Appliances,Medium Box,0.5
71,"Global Leather and Oak Executive Chair, Black",Furniture,Chairs & Chairmats,Jumbo Drum,0.56
72,Xerox 1936,Office Supplies,Paper,Small Box,0.38
73,Xerox 214,Office Supplies,Paper,Small Box,0.37
74,Carina Double Wide Media Storage Towers in Natural & Black,Office Supplies,Storage & Organization,Large Box,0.81
75,Staples General Use 3-Ring Binders,Office Supplies,Binders and Binder Accessories,Small Box,0.37
76,Xerox 1904,Office Supplies,Paper,Small Box,0.36
77,Luxo Professional Combination Clamp-On Lamps,Furniture,Office Furnishings,Large Box,0.59
78,Xerox 217,Office Supplies,Paper,Small Box,0.37
79,Revere Boxed Rubber Bands by Revere,Office Supplies,Rubber Bands,Wrap Bag,0.83
80,"Acco Smartsocket Table Surge Protector, 6 Color-Coded Adapter Outlets",Office Supplies,Appliances,Small Box,0.55
81,"Tennsco Snap-Together Open Shelving Units, Starter Sets and Add-On Units",Office Supplies,Storage & Organization,Large Box,0.8
82,Hon 4070 Series Pagoda Round Back Stacking Chairs,Furniture,Chairs & Chairmats,Jumbo Drum,0.57
83,Xerox 1887,Office Supplies,Paper,Small Box,0.37
84,Xerox 1891,Office Supplies,Paper,Small Box,0.38
85,Avery 506,Office Supplies,Labels,Small Box,0.39
86,"Bush Heritage Pine Collection 5-Shelf Bookcase, Albany Pine Finish, *Special Order",Furniture,Bookcases,Jumbo Box,0.65
87,"Lifetime Advantage Folding Chairs, 4/Carton",Furniture,Chairs & Chairmats,Large Box,0.57
88,Microsoft Natural Multimedia Keyboard,Technology,Computer Peripherals,Small Box,0.73
89,"Staples Wirebound Steno Books, 6"" x 9"", 12/Pack",Office Supplies,Paper,Wrap Bag,0.36
90,Bevis Boat-Shaped Conference Table,Furniture,Tables,Jumbo Box,0.75
91,"Linden 12"" Wall Clock With Oak Frame",Furniture,Office Furnishings,Small Box,0.55
92,Newell 326,Office Supplies,Pens & Art Supplies,Wrap Bag,0.56
93,Prismacolor Color Pencil Set,Office Supplies,Pens & Art Supplies,Wrap Bag,0.44
94,Xerox Blank Computer Paper,Office Supplies,Paper,Small Box,0.38
95,600 Series Flip,Technology,Telephones and Communication,Small Box,0.57
96,Fellowes Recycled Storage Drawers,Office Supplies,Storage & Organization,Small Box,0.78
97,Satellite Sectional Post Binders,Office Supplies,Binders and Binder Accessories,Small Box,0.39
98,Deflect-o DuraMat Antistatic Studded Beveled Mat for Medium Pile Carpeting,Furniture,Office Furnishings,Large Box,0.61
99,Avery 487,Office Supplies,Labels,Small Box,0.38
100,Bevis Round Conference Table Top & Single Column Base,Furniture,Tables,Jumbo Box,0.65
101,"GBC Twin Loop Wire Binding Elements, 9/16"" Spine, Black",Office Supplies,Binders and Binder Accessories,Small Box,0.36
102,Hanging Personal Folder File,Office Supplies,Storage & Organization,Small Box,0.6
103,"Bevis Round Conference Table Top, X-Base",Furniture,Tables,Jumbo Box,0.74
104,5125,Technology,Telephones and Communication,Small Box,0.59
105,Electrix Halogen Magnifier Lamp,Furniture,Office Furnishings,Large Box,0.59
106,Canon BP1200DH 12-Digit Bubble Jet Printing Calculator,Technology,Office Machines,Medium Box,0.36
107,Fellowes Black Plastic Comb Bindings,Office Supplies,Binders and Binder Accessories,Small Box,0.39
108,Polycom ViewStation Adapter H323 Videoconferencing Unit,Technology,Office Machines,Medium Box,0.38
109,Hon GuestStacker Chair,Furniture,Chairs & Chairmats,Jumbo Drum,0.59
110,Eldon Wave Desk Accessories,Furniture,Office Furnishings,Small Box,0.43
111,Sharp AL-1530CS Digital Copier,Technology,Copiers and Fax,Large Box,0.36
112,"Tennsco Lockers, Gray",Office Supplies,Storage & Organization,Jumbo Drum,0.78
113,"Avery 4027 File Folder Labels for Dot Matrix Printers, 5000 Labels per Box, White",Office Supplies,Labels,Small Box,0.39
114,Newell 323,Office Supplies,Pens & Art Supplies,Wrap Bag,0.59
115,Global Enterprise Series Seating High-Back Swivel/Tilt Chairs,Furniture,Chairs & Chairmats,Jumbo Drum,0.77
116,Spiral Phone Message Books with Labels by Adams,Office Supplies,Paper,Wrap Bag,0.36
117,Holmes 99% HEPA Air Purifier,Office Supplies,Appliances,Medium Box,0.52
118,Xerox 224,Office Supplies,Paper,Small Box,0.37
119,Xerox 1906,Office Supplies,Paper,Small Box,0.38
120,Xerox 188,Office Supplies,Paper,Small Box,0.36
121,Xerox 1932,Office Supplies,Paper,Small Box,0.38
122,GBC Linen Binding Covers,Office Supplies,Binders and Binder Accessories,Small Box,0.37
123,GBC Recycled Grain Textured Covers,Office Supplies,Binders and Binder Accessories,Small Box,0.37
124,"Sauder Facets Collection Library, Sky Alder Finish",Furniture,Bookcases,Jumbo Box,0.69
125,"Fellowes Basic 104-Key Keyboard, Platinum",Technology,Computer Peripherals,Small Box,0.6
126,Kensington 7 Outlet MasterPiece Power Center with Fax/Phone Line Protection,Office Supplies,Appliances,Small Box,0.55
127,O'Sullivan 3-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,Jumbo Box,0.61
128,Panasonic KX-P1150 Dot Matrix Printer,Technology,Office Machines,Jumbo Drum,0.56
129,Newell 327,Office Supplies,Pens & Art Supplies,Wrap Bag,0.58
130,Xerox 1893,Office Supplies,Paper,Small Box,0.36
131,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",Furniture,Chairs & Chairmats,Jumbo Drum,0.55
132,Eldon Radial Chair Mat for Low to Medium Pile Carpets,Furniture,Office Furnishings,Wrap Bag,0.65
133,"DAX Copper Panel Document Frame, 5 x 7 Size",Furniture,Office Furnishings,Small Box,0.43
134,O'Sullivan 2-Shelf Heavy-Duty Bookcases,Furniture,Bookcases,Jumbo Box,0.69
135,"Tenex 46"" x 60"" Computer Anti-Static Chairmat, Rectangular Shaped",Furniture,Office Furnishings,Medium Box,0.65
136,"Wirebound Message Books, 2 7/8"" x 5"", 3 Forms per Page",Office Supplies,Paper,Wrap Bag,0.38
137,"Memorex Slim 80 Minute CD-R, 10/Pack",Technology,Computer Peripherals,Small Pack,0.43
138,Aluminum Document Frame,Furniture,Office Furnishings,Small Pack,0.55
139,"Memorex 80 Minute CD-R Spindle, 100/Pack",Technology,Computer Peripherals,Small Pack,0.44
140,"Multi-Use Personal File Cart and Caster Set, Three Stacking Bins",Office Supplies,Storage & Organization,Small Box,0.57
141,Accessory36,Technology,Telephones and Communication,Small Pack,0.83
142,Xerox 20,Office Supplies,Paper,Small Box,0.37
143,Surelock Post Binders,Office Supplies,Binders and Binder Accessories,Small Box,0.35
144,Colorific Watercolor Pencils,Office Supplies,Pens & Art Supplies,Wrap Bag,0.56
145,"*Staples* vLetter Openers, 2/Pack",Office Supplies,"Scissors, Rulers and Trimmers",Wrap Bag,0.83
146,Hon 4700 Series Mobuis Mid-Back Task Chairs with Adjustable Arms,Furniture,Chairs & Chairmats,Jumbo Drum,0.64
147,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,Furniture,Tables,Jumbo Box,0.77
148,Eldon Econocleat Chair Mats for Low Pile Carpets,Furniture,Office Furnishings,Wrap Bag,0.73
149,Prang Drawing Pencil Set,Office Supplies,Pens & Art Supplies,Wrap Bag,0.58
150,T39m,Technology,Telephones and Communication,Small Box,0.55
151,Xerox 1982,Office Supplies,Paper,Small Box,0.39
152,Xerox 1924,Office Supplies,Paper,Small Box,0.36
153,Turquoise Lead Holder with Pocket Clip,Office Supplies,Pens & Art Supplies,Wrap Bag,0.52
154,Okidata ML395C Color Dot Matrix Printer,Technology,Office Machines,Jumbo Drum,0.59
155,Microsoft Internet Keyboard,Technology,Computer Peripherals,Small Box,0.78
156,Global Ergonomic Managers Chair,Furniture,Chairs & Chairmats,Jumbo Drum,0.59
157,"Office Star - Contemporary Task Swivel chair with 2-way adjustable arms, Plum",Furniture,Chairs & Chairmats,Jumbo Drum,0.78
158,Xerox 1971,Office Supplies,Paper,Small Box,0.4
159,Eldon Portable Mobile Manager,Office Supplies,Storage & Organization,Medium Box,0.58
160,Accessory6,Technology,Telephones and Communication,Small Pack,0.8
161,Durable Pressboard Binders,Office Supplies,Binders and Binder Accessories,Small Box,0.38
162,Fellowes 17-key keypad for PS/2 interface,Technology,Computer Peripherals,Small Box,0.75
163,StarTAC ST7762,Technology,Telephones and Communication,Small Box,0.57
164,Accessory21,Technology,Telephones and Communication,Wrap Bag,0.37
165,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Office Supplies,Binders and Binder Accessories,Small Box,0.35
166,Staples 6 Outlet Surge,Office Supplies,Appliances,Small Box,0.58
167,Recycled Eldon Regeneration Jumbo File,Office Supplies,Storage & Organization,Small Box,0.57
168,Verbatim DVD-R 4.7GB authoring disc,Technology,Computer Peripherals,Small Pack,0.51
169,Canon P1-DHIII Palm Printing Calculator,Technology,Office Machines,Medium Box,0.4
170,GBC Binding covers,Office Supplies,Binders and Binder Accessories,Small Box,0.4
171,"Global Stack Chair without Arms, Black",Furniture,Chairs & Chairmats,Jumbo Drum,0.6
172,"Speediset Carbonless Redi-Letter 7"" x 8 1/2""",Office Supplies,Paper,Wrap Bag,0.38
173,GBC Recycled Regency Composition Covers,Office Supplies,Binders and Binder Accessories,Small Box,0.39
174,Accessory29,Technology,Telephones and Communication,Small Pack,0.83
175,SANFORD Major Accent Highlighters,Office Supplies,Pens & Art Supplies,Wrap Bag,0.47
176,Polycom ViaVideo Desktop Video Communications Unit,Technology,Office Machines,Large Box,0.37
177,"Dixon Ticonderoga Core-Lock Colored Pencils, 48-Color Set",Office Supplies,Pens & Art Supplies,Wrap Bag,0.41
178,Accessory24,Technology,Telephones and Communication,Small Pack,0.59
179,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",Furniture,Office Furnishings,Small Box,0.55
180,Recycled Steel Personal File for Standard File Folders,Office Supplies,Storage & Organization,Small Box,0.59
181,Accessory39,Technology,Telephones and Communication,Small Pack,0.81
182,"#10- 4 1/8"" x 9 1/2"" Security-Tint Envelopes",Office Supplies,Envelopes,Small Box,0.36
183,GBC Standard Plastic Binding Systems Combs,Office Supplies,Binders and Binder Accessories,Small Box,0.36
184,Xerox 1930,Office Supplies,Paper,Small Box,0.36
185,Avery 474,Office Supplies,Labels,Small Box,0.36
186,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",Furniture,Bookcases,Jumbo Box,0.62
187,Hewlett-Packard Deskjet 6122 Color Inkjet Printer,Technology,Office Machines,Jumbo Drum,0.36
188,"IBM 80 Minute CD-R Spindle, 50/Pack",Technology,Computer Peripherals,Small Pack,0.48
189,"Peel & Seel Recycled Catalog Envelopes, Brown",Office Supplies,Envelopes,Small Box,0.35
190,TDK 4.7GB DVD+RW,Technology,Computer Peripherals,Small Pack,0.49
191,U.S. Robotics 56K Internet Call Modem,Technology,Computer Peripherals,Small Box,0.5
192,Xerox 190,Office Supplies,Paper,Small Box,0.38
193,Standard Line ÒWhile You Were OutÓ Hardbound Telephone Message Book,Office Supplies,Paper,Wrap Bag,0.39
194,CF 888,Technology,Telephones and Communication,Small Box,0.59
195,Dana Halogen Swing-Arm Architect Lamp,Furniture,Office Furnishings,Large Box,0.57
196,"SAFCO PlanMaster Heigh-Adjustable Drafting Table Base, 43w x 30d x 30-37h, Black",Furniture,Tables,Jumbo Drum,0.6
197,Lexmark Z25 Color Inkjet Printer,Technology,Office Machines,Jumbo Drum,0.37
198,Hon Multipurpose Stacking Arm Chairs,Furniture,Chairs & Chairmats,Jumbo Drum,0.59
199,Hon Olson Stacker Stools,Furniture,Chairs & Chairmats,Large Box,0.57
200,"Executive Impressions 14"" Two-Color Numerals Wall Clock",Furniture,Office Furnishings,Small Pack,0.44
201,Epson DFX5000+ Dot Matrix Printer,Technology,Office Machines,Jumbo Drum,0.57
202,"Recycled Interoffice Envelopes with String and Button Closure, 10 x 13",Office Supplies,Envelopes,Small Box,0.35
203,GBC Standard Therm-A-Bind Covers,Office Supplies,Binders and Binder Accessories,Small Box,0.39
204,Xerox 1892,Office Supplies,Paper,Small Box,0.36
205,Staples Paper Clips,Office Supplies,Rubber Bands,Wrap Bag,0.38
206,"Metal Folding Chairs, Beige, 4/Carton",Furniture,Chairs & Chairmats,Jumbo Drum,0.58
207,"80 Minute Slim Jewel Case CD-R , 10/Pack - Staples",Technology,Computer Peripherals,Small Pack,0.52
208,Bush Mission Pointe Library,Furniture,Bookcases,Jumbo Box,0.65
209,Xerox 1929,Office Supplies,Paper,Small Box,0.39
210,Home/Office Personal File Carts,Office Supplies,Storage & Organization,Small Box,0.6
211,Avery 507,Office Supplies,Labels,Small Box,0.39
212,i470,Technology,Telephones and Communication,Small Box,0.56
213,3M Organizer Strips,Office Supplies,Binders and Binder Accessories,Small Box,0.37
214,"Imation 3.5 IBM Diskettes, 10/Box",Technology,Computer Peripherals,Small Pack,0.79
215,"GE 4 Foot Flourescent Tube, 40 Watt",Furniture,Office Furnishings,Small Pack,0.39
216,300 Series Non-Flip,Technology,Telephones and Communication,Small Box,0.6
217,"Executive Impressions 13"" Chairman Wall Clock",Furniture,Office Furnishings,Small Pack,0.5
218,Micro Innovations 104 Keyboard,Technology,Computer Peripherals,Small Box,0.64
219,US Robotics 56K V.92 External Faxmodem,Technology,Computer Peripherals,Small Box,0.52
220,Fellowes Staxonsteel Drawer Files,Office Supplies,Storage & Organization,Small Box,0.71
221,Telescoping Adjustable Floor Lamp,Furniture,Office Furnishings,Large Box,0.6
222,Canon MP41DH Printing Calculator,Technology,Office Machines,Medium Box,0.38
223,"Sauder Facets Collection Locker/File Cabinet, Sky Alder Finish",Office Supplies,Storage & Organization,Jumbo Drum,0.65
224,VTech VT20-2481 2.4GHz Two-Line Phone System w/Answering Machine,Technology,Telephones and Communication,Medium Box,0.57
225,"Memo Book, 100 Message Capacity, 5 3/8Ó x 11Ó",Office Supplies,Paper,Wrap Bag,0.35
226,Belkin 6 Outlet Metallic Surge Strip,Office Supplies,Appliances,Small Box,0.59
227,Xerox 21,Office Supplies,Paper,Small Box,0.37
228,GBC DocuBind TL200 Manual Binding Machine,Office Supplies,Binders and Binder Accessories,Small Box,0.38
229,"Sauder Forest Hills Library, Woodland Oak Finish",Furniture,Bookcases,Jumbo Box,0.77
230,Xerox 1940,Office Supplies,Paper,Small Box,0.36
231,Bagged Rubber Bands,Office Supplies,Rubber Bands,Wrap Bag,0.81
232,Xerox 1897,Office Supplies,Paper,Small Box,0.36
233,Poly Designer Cover & Back,Office Supplies,Binders and Binder Accessories,Small Box,0.37
234,Bionaire Personal Warm Mist Humidifier/Vaporizer,Office Supplies,Appliances,Medium Box,0.46
235,"Acme 8"" Straight Scissors",Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,0.6
236,Heavy-Duty E-Z-D Binders,Office Supplies,Binders and Binder Accessories,Small Box,0.38
237,Deluxe Rollaway Locking File with Drawer,Office Supplies,Storage & Organization,Small Box,0.57
238,252,Technology,Telephones and Communication,Small Box,0.55
239,"Imation 3.5, DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Technology,Computer Peripherals,Small Pack,0.79
240,Wilson Jones DublLock D-Ring Binders,Office Supplies,Binders and Binder Accessories,Small Box,0.35
241,Binder Posts,Office Supplies,Binders and Binder Accessories,Small Box,0.39
242,Epson LQ-570e Dot Matrix Printer,Technology,Office Machines,Jumbo Drum,0.56
243,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",Furniture,Bookcases,Jumbo Box,0.59
244,Fellowes PB300 Plastic Comb Binding Machine,Office Supplies,Binders and Binder Accessories,Small Box,0.38
245,Rush Hierlooms Collection Rich Wood Bookcases,Furniture,Bookcases,Jumbo Box,0.72
246,Avery 481,Office Supplies,Labels,Small Box,0.37
247,"Avery Trapezoid Extra Heavy Duty 4"" Binders",Office Supplies,Binders and Binder Accessories,Small Box,0.35
248,StarTAC Series,Technology,Telephones and Communication,Small Box,0.55
249,"Rediform Wirebound ""Phone Memo"" Message Book, 11 x 5-3/4",Office Supplies,Paper,Wrap Bag,0.36
250,Global Comet Stacking Armless Chair,Furniture,Chairs & Chairmats,Jumbo Drum,0.57
251,Hon 4070 Series Pagoda Armless Upholstered Stacking Chairs,Furniture,Chairs & Chairmats,Jumbo Drum,0.56
252,"Fellowes Internet Keyboard, Platinum",Technology,Computer Peripherals,Small Box,0.74
253,Luxo Economy Swing Arm Lamp,Furniture,Office Furnishings,Large Box,0.57
254,Acco Perma 2700 Stacking Storage Drawers,Office Supplies,Storage & Organization,Small Box,0.7
255,Fellowes Stor/Drawer Steel Plus Storage Drawers,Office Supplies,Storage & Organization,Small Box,0.79
256,Honeywell Enviracaire Portable HEPA Air Cleaner for 17' x 22' Room,Office Supplies,Appliances,Large Box,0.52
257,"Verbatim DVD-RAM, 9.4GB, Rewritable, Type 1, DS, DataLife Plus",Technology,Computer Peripherals,Small Pack,0.55
258,Lock-Up Easel 'Spel-Binder',Office Supplies,Binders and Binder Accessories,Small Box,0.38
259,"Adams Write n' Stick Phone Message Book, 11"" X 5 1/4"", 200 Messages",Office Supplies,Paper,Wrap Bag,0.39
260,"Tenex File Box, Personal Filing Tote with Lid, Black",Office Supplies,Storage & Organization,Small Box,0.59
261,Assorted Color Push Pins,Office Supplies,Rubber Bands,Wrap Bag,0.52
262,HP Office Paper (20Lb. and 87 Bright),Office Supplies,Paper,Small Box,0.37
263,Staples Vinyl Coated Paper Clips,Office Supplies,Rubber Bands,Wrap Bag,0.39
264,Newell 310,Office Supplies,Pens & Art Supplies,Wrap Bag,0.56
265,Kensington 7 Outlet MasterPiece Power Center,Office Supplies,Appliances,Small Box,0.56
266,"DAX Metal Frame, Desktop, Stepped-Edge",Furniture,Office Furnishings,Small Pack,0.46
267,8860,Technology,Telephones and Communication,Small Box,0.56
268,Array Memo Cubes,Office Supplies,Paper,Wrap Bag,0.36
269,"Fiskars 8"" Scissors, 2/Pack",Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,0.56
270,12 Colored Short Pencils,Office Supplies,Pens & Art Supplies,Wrap Bag,0.58
271,Pizazz Global Quick File,Office Supplies,Storage & Organization,Small Box,0.57
272,Imation 5.2GB DVD-RAM,Technology,Computer Peripherals,Small Pack,0.5
273,Portable Personal File Box,Office Supplies,Storage & Organization,Small Box,0.58
274,"Snap-A-Way Black Print Carbonless Speed Message, No Reply Area, Duplicate",Office Supplies,Paper,Wrap Bag,0.38
275,Ibico Covers for Plastic or Wire Binding Elements,Office Supplies,Binders and Binder Accessories,Small Box,0.4
276,Tennsco Double-Tier Lockers,Office Supplies,Storage & Organization,Jumbo Drum,0.72
277,"Wirebound Message Books, Four 2 3/4"" x 5"" Forms per Page, 600 Sets per Book",Office Supplies,Paper,Wrap Bag,0.38
278,"Acme Design Line 8"" Stainless Steel Bent Scissors w/Champagne Handles, 3-1/8"" Cut",Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,0.58
279,"Imation 3.5"", DISKETTE 44766 HGHLD3.52HD/FM, 10/Pack",Technology,Computer Peripherals,Small Pack,0.64
280,PC Concepts 116 Key Quantum 3000 Keyboard,Technology,Computer Peripherals,Small Box,0.75
281,Epson Stylus 1520 Color Inkjet Printer,Technology,Office Machines,Jumbo Drum,0.37
282,Avery 494,Office Supplies,Labels,Small Box,0.39
283,Wilson Jones 14 Line Acrylic Coated Pressboard Data Binders,Office Supplies,Binders and Binder Accessories,Small Box,0.38
284,Eureka Disposable Bags for Sanitaire Vibra Groomer I Upright Vac,Office Supplies,Appliances,Small Box,0.6
285,AT&T 2230 Dual Handset Phone With Caller ID/Call Waiting,Technology,Office Machines,Small Box,0.52
286,Cardinal Poly Pocket Divider Pockets for Ring Binders,Office Supplies,Binders and Binder Accessories,Small Box,0.4
287,Canon PC1060 Personal Laser Copier,Technology,Copiers and Fax,Large Box,0.41
288,Sterling Rubber Bands by Alliance,Office Supplies,Rubber Bands,Wrap Bag,0.85
289,Newell 312,Office Supplies,Pens & Art Supplies,Wrap Bag,0.55
290,"Imation 3.5"" DS/HD IBM Formatted Diskettes, 50/Pack",Technology,Computer Peripherals,Small Pack,0.64
291,"Avery Flip-Chart Easel Binder, Black",Office Supplies,Binders and Binder Accessories,Small Box,0.38
292,R280,Technology,Telephones and Communication,Small Box,0.55
293,Accessory9,Technology,Telephones and Communication,Small Pack,0.39
294,Tennsco Industrial Shelving,Office Supplies,Storage & Organization,Large Box,0.83
295,Staples Bulldog Clip,Office Supplies,Rubber Bands,Wrap Bag,0.39
296,"Micro Innovations Micro 3000 Keyboard, Black",Technology,Computer Peripherals,Small Box,0.75
297,Xerox 1882,Office Supplies,Paper,Small Box,0.36
298,"Acme Hot Forged Carbon Steel Scissors with Nickel-Plated Handles, 3 7/8"" Cut, 8""L",Office Supplies,"Scissors, Rulers and Trimmers",Small Pack,0.56
299,Eldon Cleatmat Chair Mats for Medium Pile Carpets,Furniture,Office Furnishings,Medium Box,0.72
300,Xerox 4200 Series MultiUse Premium Copy Paper (20Lb. and 84 Bright),Office Supplies,Paper,Small Box,0.4
301,Hon 94000 Series Round Tables,Furniture,Tables,Jumbo Box,0.76
302,"Global High-Back Leather Tilter, Burgundy",Furniture,Chairs & Chairmats,Jumbo Drum,0.74
