customer_key,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_total,segment
39,148,3,2354.7,3,1,1,5,Needs Attention
40,664,5,3541.758,1,2,1,4,Lost / Churned
41,46,14,41159.648,5,5,5,15,Champions
42,52,6,27842.06,5,3,4,12,Loyal Customers
43,500,7,11276.62,1,3,2,6,Needs Attention
44,224,6,17576.67,2,3,3,8,Needs Attention
45,283,2,6445.83,2,1,2,5,Lost / Churned
46,630,3,12864.07,1,1,3,5,Lost / Churned
47,125,4,6868.3105,3,1,2,6,Needs Attention
48,253,6,7915.03,2,3,2,7,Needs Attention
49,436,4,1486.1,1,1,1,3,Lost / Churned
50,509,6,20691.289,1,3,4,8,Needs Attention
51,1431,2,32088.420000000002,1,1,5,7,Lost / Churned
52,291,4,17307.548,2,1,3,6,Lost / Churned
53,476,7,7487.9580000000005,1,3,2,6,Needs Attention
54,28,14,51155.799,5,5,5,15,Champions
55,110,6,17243.277,4,3,3,10,Loyal Customers
56,188,5,25045.420000000002,3,2,4,9,Needs Attention
57,466,5,7188.12,1,2,2,5,Lost / Churned
58,168,6,26629.809500000003,3,3,4,10,Needs Attention
59,27,18,92542.153,5,5,5,15,Champions
60,509,7,19810.635500000004,1,3,4,8,Needs Attention
61,234,8,30487.0805,2,4,5,11,At Risk (High Value)
62,106,11,19146.37,4,5,4,13,Champions
63,1234,1,1060.342,1,1,1,3,Lost / Churned
64,391,7,8292.69,1,3,2,6,Needs Attention
65,219,12,52882.2825,2,5,5,12,At Risk (High Value)
66,486,5,15290.047999999999,1,2,3,6,Lost / Churned
67,462,5,15996.559500000001,1,2,3,6,Lost / Churned
68,32,10,18803.822,5,5,3,13,Loyal Customers
69,185,6,13013.1375,3,3,3,9,Needs Attention
70,67,5,6292.67,4,2,2,8,New / Promising
71,146,12,60960.5295,3,5,5,13,Needs Attention
72,644,8,15970.5365,1,4,3,8,Needs Attention
73,177,16,40768.833,3,5,5,13,Needs Attention
74,740,6,18286.059999999998,1,3,3,7,Needs Attention
75,157,8,10648.5085,3,4,2,9,Needs Attention
76,112,6,33997.323000000004,4,3,5,12,Loyal Customers
77,646,12,33090.42,1,5,5,11,At Risk (High Value)
78,462,4,3468.7299999999996,1,1,1,3,Lost / Churned
79,665,2,567.89,1,1,1,3,Lost / Churned
80,43,6,29768.4295,5,3,5,13,Loyal Customers
81,104,4,4466.26,4,1,1,6,New / Promising
82,65,5,16155.5745,4,2,3,9,New / Promising
83,70,12,64716.796500000004,4,5,5,14,Champions
84,225,9,33491.987,2,4,5,11,At Risk (High Value)
85,2,12,50662.9455,5,5,5,15,Champions
86,379,3,7636.6225,2,1,2,5,Lost / Churned
87,302,8,11195.684,2,4,2,8,Needs Attention
88,87,5,4143.558,4,2,1,7,New / Promising
89,40,8,40353.994,5,4,5,14,Champions
90,668,5,10578.3685,1,2,2,5,Lost / Churned
91,383,8,18807.251,1,4,3,8,Needs Attention
92,89,16,39069.3685,4,5,5,14,Champions
93,148,11,22776.318499999998,3,5,4,12,Needs Attention
94,758,4,2939.316,1,1,1,3,Lost / Churned
95,418,8,14097.117,1,4,3,8,Needs Attention
96,464,6,6647.6075,1,3,2,6,Needs Attention
97,102,15,38449.29,4,5,5,14,Champions
98,156,4,3238.911,3,1,1,5,Needs Attention
99,67,7,11529.583499999999,4,3,2,9,Loyal Customers
100,302,6,38977.811,2,3,5,10,Needs Attention
101,20,7,15534.386,5,3,3,11,Loyal Customers
102,280,5,17080.134,2,2,3,7,Lost / Churned
103,189,16,44248.829,3,5,5,13,Needs Attention
104,100,8,25261.2195,4,4,4,12,Champions
105,33,12,28774.013499999997,5,5,5,15,Champions
106,22,9,19583.8605,5,4,4,13,Champions
107,2,7,9639.532,5,3,2,10,Loyal Customers
108,156,8,19473.143500000002,3,4,4,11,Needs Attention
109,41,9,16900.5895,5,4,3,12,Loyal Customers
110,241,3,24107.399999999998,2,1,4,7,Lost / Churned
111,103,6,30727.311,4,3,5,12,Loyal Customers
112,57,3,15650.15,5,1,3,9,New / Promising
113,101,12,17099.94,4,5,3,12,Loyal Customers
114,734,2,1134.88,1,1,1,3,Lost / Churned
115,412,5,10735.5655,1,2,2,5,Lost / Churned
116,66,7,20482.911,4,3,4,11,Loyal Customers
117,11,13,67914.0005,5,5,5,15,Champions
118,134,5,9281.88,3,2,2,7,Needs Attention
119,158,6,5489.998,3,3,1,7,Needs Attention
120,6,8,15839.2955,5,4,3,12,Loyal Customers
121,139,8,20601.493,3,4,4,11,Needs Attention
122,90,9,38012.0305,4,4,5,13,Champions
123,39,14,29786.8295,5,5,5,15,Champions
124,203,5,5428.99,3,2,1,6,Needs Attention
125,52,10,37289.066,5,5,5,15,Champions
126,1063,3,3628.6805000000004,1,1,1,3,Lost / Churned
127,54,13,23662.4305,5,5,4,14,Champions
128,51,12,21329.728,5,5,4,14,Champions
129,109,8,16448.427499999998,4,4,3,11,Loyal Customers
130,76,12,22488.41,4,5,4,13,Champions
131,133,6,4605.224,3,3,1,7,Needs Attention
132,156,7,14244.1795,3,3,3,9,Needs Attention
133,16,4,19562.370000000003,5,1,4,10,New / Promising
134,289,7,8970.3945,2,3,2,7,Needs Attention
135,143,5,8819.5645,3,2,2,7,Needs Attention
136,123,6,20949.488,3,3,4,10,Needs Attention
137,284,5,41020.627,2,2,5,9,Lost / Churned
138,183,5,629.7,3,2,1,6,Needs Attention
139,165,18,70579.72750000001,3,5,5,13,Needs Attention
140,794,5,7865.08,1,2,2,5,Lost / Churned
141,73,7,37036.0265,4,3,5,12,Loyal Customers
142,106,4,7008.4265000000005,4,1,2,7,New / Promising
143,240,3,16229.687999999998,2,1,3,6,Lost / Churned
144,163,11,12303.6725,3,5,3,11,Needs Attention
145,526,3,714.24,1,1,1,3,Lost / Churned
146,408,2,8396.5,1,1,2,4,Lost / Churned
147,55,14,29858.367,5,5,5,15,Champions
148,135,7,23102.8425,3,3,4,10,Needs Attention
149,112,11,36028.4065,4,5,5,14,Champions
150,134,14,28075.790999999997,3,5,4,12,Needs Attention
151,328,3,1764.71,2,1,1,4,Lost / Churned
152,106,15,37446.559,4,5,5,14,Champions
153,170,6,13812.44,3,3,3,9,Needs Attention
154,141,12,60962.347,3,5,5,13,Needs Attention
155,102,5,8199.34,4,2,2,8,New / Promising
156,214,8,40273.752,3,4,5,12,Needs Attention
157,88,7,15223.730000000001,4,3,3,10,Loyal Customers
158,29,7,23839.863999999998,5,3,4,12,Loyal Customers
159,68,21,56974.694,4,5,5,14,Champions
160,174,5,4284.06,3,2,1,6,Needs Attention
161,131,8,10476.986499999999,3,4,2,9,Needs Attention
162,150,5,7032.479,3,2,2,7,Needs Attention
163,377,2,852.11,2,1,1,4,Lost / Churned
164,167,8,18947.68,3,4,4,11,Needs Attention
165,143,11,34824.3215,3,5,5,13,Needs Attention
166,58,9,15976.5345,5,4,3,12,Loyal Customers
167,64,6,29585.21,4,3,5,12,Loyal Customers
168,235,4,11813.18,2,1,3,6,Lost / Churned
169,110,7,7274.6065,4,3,2,9,Loyal Customers
170,62,8,38880.47,4,4,5,13,Champions
171,242,4,8982.561,2,1,2,5,Lost / Churned
172,15,7,24303.194,5,3,4,12,Loyal Customers
173,135,10,16929.76,3,5,3,11,Needs Attention
174,717,3,16978.666,1,1,3,5,Lost / Churned
175,278,2,12976.4,2,1,3,6,Lost / Churned
176,4,6,14228.586000000001,5,3,3,11,Loyal Customers
177,109,5,20459.4895,4,2,4,10,New / Promising
178,64,3,2437.0595000000003,4,1,1,6,New / Promising
179,836,4,4263.9580000000005,1,1,1,3,Lost / Churned
180,164,4,31955.079,3,1,5,9,Needs Attention
181,28,5,18834.2155,5,2,4,11,New / Promising
182,604,3,4110.91,1,1,1,3,Lost / Churned
183,51,4,16454.35,5,1,3,9,New / Promising
184,42,17,54917.7325,5,5,5,15,Champions
185,347,8,8835.3235,2,4,2,8,Needs Attention
186,608,3,865.26,1,1,1,3,Lost / Churned
187,56,11,30557.7815,5,5,5,15,Champions
188,117,8,11546.658,4,4,2,10,Loyal Customers
189,139,4,506.8,3,1,1,5,Needs Attention
190,480,5,9698.114,1,2,2,5,Lost / Churned
191,62,10,18378.804,4,5,3,12,Loyal Customers
192,203,9,20868.0975,3,4,4,11,Needs Attention
193,429,9,17420.85,1,4,3,8,Needs Attention
194,54,6,7739.62,5,3,2,10,Loyal Customers
195,182,7,18690.3785,3,3,3,9,Needs Attention
196,78,3,23190.2165,4,1,4,9,New / Promising
197,60,10,17304.675499999998,5,5,3,13,Loyal Customers
198,304,15,29606.0065,2,5,5,12,At Risk (High Value)
199,538,4,1653.25,1,1,1,3,Lost / Churned
200,597,2,1484.04,1,1,1,3,Lost / Churned
201,33,5,22584.1505,5,2,4,11,New / Promising
202,75,3,706.88,4,1,1,6,New / Promising
203,248,12,15920.8105,2,5,3,10,Needs Attention
204,3,13,46429.649999999994,5,5,5,15,Champions
205,969,1,198.08,1,1,1,3,Lost / Churned
206,276,3,1348.64,2,1,1,4,Lost / Churned
207,304,6,20917.49,2,3,4,9,Needs Attention
208,10,12,16764.8725,5,5,3,13,Loyal Customers
209,399,4,9664.17,1,1,2,4,Lost / Churned
210,149,3,721.65,3,1,1,5,Needs Attention
211,270,7,11493.13,2,3,2,7,Needs Attention
212,182,14,76306.4315,3,5,5,13,Needs Attention
213,481,2,293.21999999999997,1,1,1,3,Lost / Churned
214,46,8,9969.365,5,4,2,11,Loyal Customers
215,202,7,32583.0165,3,3,5,11,Needs Attention
216,79,14,33880.274,4,5,5,14,Champions
217,42,8,20368.3545,5,4,4,13,Champions
218,13,7,24331.446,5,3,4,12,Loyal Customers
219,90,8,11577.58,4,4,2,10,Loyal Customers
220,215,11,50702.966499999995,2,5,5,12,At Risk (High Value)
221,108,10,11506.3625,4,5,2,11,Loyal Customers
222,30,9,25908.939,5,4,4,13,Champions
223,2,3,7054.7155,5,1,2,8,New / Promising
224,21,14,58024.7515,5,5,5,15,Champions
225,43,14,38343.6275,5,5,5,15,Champions
226,16,5,17299.48,5,2,3,10,New / Promising
227,65,8,54630.1045,4,4,5,13,Champions
228,13,14,22179.0535,5,5,4,14,Champions
229,175,5,13712.1675,3,2,3,8,Needs Attention
230,1055,3,1736.1284999999998,1,1,1,3,Lost / Churned
231,246,7,6346.413500000001,2,3,2,7,Needs Attention
232,80,4,8584.655,4,1,2,7,New / Promising
233,94,3,3321.86,4,1,1,6,New / Promising
234,675,3,14938.990000000002,1,1,3,5,Lost / Churned
235,136,9,24445.0125,3,4,4,11,Needs Attention
236,409,10,18982.228499999997,1,5,4,10,At Risk (High Value)
237,649,8,4487.6995,1,4,1,6,Needs Attention
238,657,3,17409.38,1,1,3,5,Lost / Churned
239,295,7,27294.229,2,3,4,9,Needs Attention
240,114,9,35725.0895,4,4,5,13,Champions
241,290,3,1348.4615,2,1,1,4,Lost / Churned
242,258,8,3429.75,2,4,1,7,Needs Attention
243,198,5,7676.209999999999,3,2,2,7,Needs Attention
244,73,13,19668.1735,4,5,4,13,Champions
245,43,16,54511.8035,5,5,5,15,Champions
246,286,7,10990.5905,2,3,2,7,Needs Attention
247,7,4,11434.64,5,1,2,8,New / Promising
248,246,5,8520.814,2,2,2,6,Lost / Churned
249,172,7,18368.42,3,3,3,9,Needs Attention
250,63,3,5524.13,4,1,1,6,New / Promising
251,50,17,26217.9035,5,5,4,14,Champions
252,455,5,9751.536,1,2,2,5,Lost / Churned
253,381,8,29846.969999999998,1,4,5,10,At Risk (High Value)
254,451,13,18149.56,1,5,3,9,Needs Attention
255,66,7,18544.038,4,3,3,10,Loyal Customers
256,8,7,7060.98,5,3,2,10,Loyal Customers
257,217,4,7189.49,2,1,2,5,Lost / Churned
258,124,4,4582.392,3,1,1,5,Needs Attention
259,175,3,2810.08,3,1,1,5,Needs Attention
260,361,3,2441.45,2,1,1,4,Lost / Churned
261,591,6,20751.6195,1,3,4,8,Needs Attention
262,489,4,10000.316499999999,1,1,2,4,Lost / Churned
263,74,7,7588.141,4,3,2,9,Loyal Customers
264,47,26,81577.3435,5,5,5,15,Champions
265,99,4,4652.33,4,1,1,6,New / Promising
266,138,4,7719.012500000001,3,1,2,6,Needs Attention
267,232,6,21144.72,2,3,4,9,Needs Attention
268,390,5,19415.425,1,2,4,7,Lost / Churned
269,682,4,9561.57,1,1,2,4,Lost / Churned
270,6,9,9287.363,5,4,2,11,Loyal Customers
271,108,6,35495.4365,4,3,5,12,Loyal Customers
272,388,4,3714.3465,1,1,1,3,Lost / Churned
273,380,6,23104.170000000002,1,3,4,8,Needs Attention
274,203,10,11322.7605,3,5,2,10,Needs Attention
275,29,11,23588.04,5,5,4,14,Champions
276,117,3,13690.79,4,1,3,8,New / Promising
277,21,5,7852.3585,5,2,2,9,New / Promising
278,873,3,2635.35,1,1,1,3,Lost / Churned
279,248,7,34301.5175,2,3,5,10,Needs Attention
280,53,3,8019.349999999999,5,1,2,8,New / Promising
281,309,4,3192.8705,2,1,1,4,Lost / Churned
282,118,8,27886.420000000002,3,4,4,11,Needs Attention
283,12,4,17061.5965,5,2,3,10,New / Promising
284,527,3,1993.067,1,1,1,3,Lost / Churned
285,187,8,30412.951,3,4,5,12,Needs Attention
286,335,5,2835.7165,2,2,1,5,Lost / Churned
287,1200,2,12119.77,1,1,3,5,Lost / Churned
288,21,7,8415.2545,5,3,2,10,Loyal Customers
289,207,3,848.0699999999999,3,1,1,5,Needs Attention
290,1,3,683.8999999999999,5,1,1,7,New / Promising
291,145,6,37037.880000000005,3,3,5,11,Needs Attention
292,260,4,19580.65,2,2,4,8,Lost / Churned
293,35,16,31607.476,5,5,5,15,Champions
294,119,10,25889.96,3,5,4,12,Needs Attention
295,28,5,2952.9385,5,2,1,8,New / Promising
296,103,3,650.77,4,1,1,6,New / Promising
297,196,7,13895.8125,3,3,3,9,Needs Attention
298,220,12,11448.06,2,5,2,9,Needs Attention
299,27,9,35594.996,5,4,5,14,Champions
300,221,4,7913.36,2,2,2,6,Lost / Churned
301,743,2,968.8689999999999,1,1,1,3,Lost / Churned
302,465,2,2913.65,1,1,1,3,Lost / Churned
303,88,6,11764.877499999999,4,3,2,9,Loyal Customers
304,234,5,9718.648,2,2,2,6,Lost / Churned
305,248,12,59092.098,2,5,5,12,At Risk (High Value)
306,659,2,5284.823,1,1,1,3,Lost / Churned
307,10,15,48460.135,5,5,5,15,Champions
308,292,10,23724.928,2,5,4,11,At Risk (High Value)
309,339,6,35703.914,2,3,5,10,Needs Attention
310,65,9,34383.84,4,4,5,13,Champions
311,40,9,24823.956000000002,5,4,4,13,Champions
312,81,16,18670.6405,4,5,3,12,Loyal Customers
313,206,7,14160.6725,3,3,3,9,Needs Attention
314,312,7,24633.7035,2,3,4,9,Needs Attention
315,4,7,5169.2175,5,3,1,9,Loyal Customers
316,484,6,12361.165500000001,1,3,3,7,Needs Attention
317,109,9,33070.6105,4,4,5,13,Champions
318,22,6,28271.0575,5,3,4,12,Loyal Customers
319,75,4,2899.5400000000004,4,2,1,7,New / Promising
320,148,12,34308.89,3,5,5,13,Needs Attention
321,159,6,16775.2625,3,3,3,9,Needs Attention
322,228,2,3005.61,2,1,1,4,Lost / Churned
323,147,5,14532.89,3,2,3,8,Needs Attention
324,163,3,2576.17,3,1,1,5,Needs Attention
325,120,8,19871.816,3,4,4,11,Needs Attention
326,141,3,775.9499999999999,3,1,1,5,Needs Attention
327,25,8,13551.109999999999,5,4,3,12,Loyal Customers
328,158,5,15678.463,3,2,3,8,Needs Attention
329,109,8,42960.68,4,4,5,13,Champions
330,290,2,11728.453,2,1,2,5,Lost / Churned
331,119,5,7459.0475,3,2,2,7,Needs Attention
332,201,5,16032.235,3,2,3,8,Needs Attention
333,483,5,13887.6725,1,2,3,6,Lost / Churned
334,356,4,11261.0755,2,2,2,6,Lost / Churned
335,283,12,30735.367,2,5,5,12,At Risk (High Value)
336,134,8,8270.075,3,4,2,9,Needs Attention
337,132,14,44992.831,3,5,5,13,Needs Attention
338,27,15,13564.495,5,5,3,13,Loyal Customers
339,218,17,24769.844,2,5,4,11,At Risk (High Value)
340,116,6,24113.15,4,3,4,11,Loyal Customers
341,233,7,16360.872,2,3,3,8,Needs Attention
342,389,8,25904.601000000002,1,4,4,9,At Risk (High Value)
343,76,7,27109.49,4,3,4,11,Loyal Customers
344,22,11,31179.3485,5,5,5,15,Champions
345,119,6,9564.48,3,3,2,8,Needs Attention
346,133,7,8422.81,3,3,2,8,Needs Attention
347,5,11,17197.7,5,5,3,13,Loyal Customers
348,233,15,46556.162,2,5,5,12,At Risk (High Value)
349,76,6,28113.7805,4,3,4,11,Loyal Customers
350,88,10,28409.9345,4,5,4,13,Champions
351,100,6,16325.09,4,3,3,10,Loyal Customers
352,124,7,30519.14,3,3,5,11,Needs Attention
353,203,8,7290.117,3,4,2,9,Needs Attention
354,86,19,58679.845,4,5,5,14,Champions
355,1187,2,4312.0335000000005,1,1,1,3,Lost / Churned
356,70,7,22970.254,4,3,4,11,Loyal Customers
357,280,5,14132.789499999999,2,2,3,7,Lost / Churned
358,116,9,25607.338000000003,4,4,4,12,Champions
359,18,15,29061.8675,5,5,5,15,Champions
360,50,11,8761.64,5,5,2,12,Loyal Customers
361,133,6,1987.1599999999999,3,3,1,7,Needs Attention
362,4,24,36909.514,5,5,5,15,Champions
363,158,5,6031.7880000000005,3,2,2,7,Needs Attention
364,190,7,34987.7715,3,3,5,11,Needs Attention
365,64,5,14044.8845,4,2,3,9,New / Promising
366,113,10,9212.673999999999,4,5,2,11,Loyal Customers
367,83,5,9111.51,4,2,2,8,New / Promising
368,303,3,4069.6359999999995,2,1,1,4,Lost / Churned
369,108,7,29885.510000000002,4,3,5,12,Loyal Customers
370,35,16,62544.0205,5,5,5,15,Champions
371,321,7,25658.761,2,3,4,9,Needs Attention
372,89,5,22077.733,4,2,4,10,New / Promising
373,277,12,16316.5715,2,5,3,10,Needs Attention
374,94,4,343.328,4,2,1,7,New / Promising
375,64,7,26188.544500000004,4,3,4,11,Loyal Customers
376,108,15,44184.6035,4,5,5,14,Champions
377,121,10,42356.003,3,5,5,13,Needs Attention
378,511,5,9677.297999999999,1,2,2,5,Lost / Churned
379,711,4,3028.23,1,2,1,4,Lost / Churned
380,107,3,2910.13,4,1,1,6,New / Promising
381,205,11,59313.323,3,5,5,13,Needs Attention
382,111,5,12332.5095,4,2,3,9,New / Promising
383,803,4,1911.6100000000001,1,2,1,4,Lost / Churned
384,6,8,7909.8155,5,4,2,11,Loyal Customers
385,326,5,1235.3125,2,2,1,5,Lost / Churned
386,132,5,6140.259,3,2,2,7,Needs Attention
387,448,5,5333.764,1,2,1,4,Lost / Churned
388,212,4,19712.9755,3,2,4,9,Needs Attention
389,303,5,11540.967,2,2,2,6,Lost / Churned
390,62,6,11552.286,4,3,2,9,Loyal Customers
391,1,6,12002.08,5,3,3,11,Loyal Customers
392,613,6,6207.6449999999995,1,3,2,6,Needs Attention
393,41,13,23201.28,5,5,4,14,Champions
394,673,7,9782.5655,1,3,2,6,Needs Attention
395,64,4,5907.208500000001,4,2,1,7,New / Promising
396,207,7,25168.8965,3,3,4,10,Needs Attention
397,682,7,12532.470500000001,1,3,3,7,Needs Attention
398,368,9,27690.7255,2,4,4,10,At Risk (High Value)
399,165,10,29249.086,3,5,5,13,Needs Attention
400,3,10,27911.61,5,5,4,14,Champions
401,182,4,3728.5860000000002,3,2,1,6,Needs Attention
402,62,8,29294.96,4,4,5,13,Champions
403,253,3,573.98,2,1,1,4,Lost / Churned
404,31,11,47040.004,5,5,5,15,Champions
405,363,12,97433.1355,2,5,5,12,At Risk (High Value)
406,612,5,34398.05,1,2,5,8,Lost / Churned
407,297,7,23338.48,2,3,4,9,Needs Attention
408,187,5,6339.3115,3,2,2,7,Needs Attention
409,55,14,34298.65,5,5,5,15,Champions
410,139,9,26977.4575,3,4,4,11,Needs Attention
411,28,8,6869.836,5,4,2,11,Loyal Customers
412,75,5,13649.0635,4,2,3,9,New / Promising
413,53,4,2655.2400000000002,5,2,1,8,New / Promising
414,19,12,80044.452,5,5,5,15,Champions
415,35,8,117124.43800000001,5,4,5,14,Champions
416,74,10,33230.628,4,5,5,14,Champions
417,182,6,15413.949999999999,3,3,3,9,Needs Attention
418,944,3,25276.14,1,1,4,6,Lost / Churned
419,71,8,8421.92,4,4,2,10,Loyal Customers
420,125,3,23289.899,3,1,4,8,Needs Attention
421,232,9,42624.297,2,4,5,11,At Risk (High Value)
422,95,7,16405.348,4,3,3,10,Loyal Customers
423,102,6,4751.86,4,3,1,8,Loyal Customers
424,276,6,35294.479999999996,2,3,5,10,Needs Attention
425,268,8,14189.536,2,4,3,9,Needs Attention
426,113,4,12966.237000000001,4,2,3,9,New / Promising
427,91,4,21231.0,4,2,4,10,New / Promising
428,478,3,9611.36,1,1,2,4,Lost / Churned
429,144,10,10174.2555,3,5,2,10,Needs Attention
430,455,8,15371.42,1,4,3,8,Needs Attention
431,63,15,60682.967,4,5,5,14,Champions
432,55,11,29420.89,5,5,5,15,Champions
433,267,4,5536.83,2,2,1,5,Lost / Churned
434,395,5,7054.69,1,2,2,5,Lost / Churned
435,602,5,6970.43,1,2,2,5,Lost / Churned
436,51,5,8694.495,5,2,2,9,New / Promising
437,58,7,23074.469,5,3,4,12,Loyal Customers
438,112,5,30119.413,4,2,5,11,New / Promising
439,408,6,7686.2,1,3,2,6,Needs Attention
440,188,14,44416.364,3,5,5,13,Needs Attention
441,342,2,25583.82,2,1,4,7,Lost / Churned
442,98,4,12911.4315,4,2,3,9,New / Promising
443,324,2,1220.1399999999999,2,1,1,4,Lost / Churned
444,328,4,5121.92,2,2,1,5,Lost / Churned
445,119,9,29811.3505,3,4,5,12,Needs Attention
446,17,8,12155.528,5,4,3,12,Loyal Customers
447,931,1,125.9,1,1,1,3,Lost / Churned
448,185,9,30848.0415,3,4,5,12,Needs Attention
449,238,10,16842.6915,2,5,3,10,Needs Attention
450,408,7,14519.9335,1,3,3,7,Needs Attention
451,29,12,15596.5505,5,5,3,13,Loyal Customers
452,85,7,12539.34,4,3,3,10,Loyal Customers
453,390,6,25202.156499999997,1,3,4,8,Needs Attention
454,207,6,37359.520000000004,3,3,5,11,Needs Attention
455,242,7,24161.9505,2,3,4,9,Needs Attention
456,44,4,3960.31,5,2,1,8,New / Promising
457,166,12,27215.451,3,5,4,12,Needs Attention
458,56,10,15867.250000000002,5,5,3,13,Loyal Customers
459,106,9,19831.0765,4,4,4,12,Champions
460,63,5,13306.16,4,2,3,9,New / Promising
461,168,7,61350.090000000004,3,3,5,11,Needs Attention
462,4,8,28060.799,5,4,4,13,Champions
463,318,2,11346.6535,2,1,2,5,Lost / Churned
464,304,4,48660.873,2,2,5,9,Lost / Churned
465,72,6,22900.1275,4,3,4,11,Loyal Customers
466,387,7,29600.030000000002,1,3,5,9,Needs Attention
467,361,6,2681.0225,2,3,1,6,Needs Attention
468,188,5,4054.161,3,2,1,6,Needs Attention
469,30,13,75967.59049999999,5,5,5,15,Champions
470,130,9,16286.2955,3,4,3,10,Needs Attention
471,206,9,25012.9705,3,4,4,11,Needs Attention
472,18,5,14040.89,5,2,3,10,New / Promising
473,292,8,18873.73,2,4,4,10,At Risk (High Value)
474,28,8,20998.6675,5,4,4,13,Champions
475,1,13,13119.31,5,5,3,13,Loyal Customers
476,185,11,25005.516,3,5,4,12,Needs Attention
477,99,6,8284.9355,4,3,2,9,Loyal Customers
478,250,2,85.72,2,1,1,4,Lost / Churned
479,76,4,4428.0695,4,2,1,7,New / Promising
480,74,9,28981.8145,4,4,5,13,Champions
481,433,5,13806.53,1,2,3,6,Lost / Churned
482,92,9,7060.3395,4,4,2,10,Loyal Customers
483,151,4,37675.81,3,2,5,10,Needs Attention
484,27,9,10778.6705,5,4,2,11,Loyal Customers
485,15,16,29860.555,5,5,5,15,Champions
486,144,7,11855.3475,3,3,3,9,Needs Attention
487,223,8,16702.97,2,4,3,9,Needs Attention
488,381,4,25141.737,1,2,4,7,Lost / Churned
489,106,6,15070.041,4,3,3,10,Loyal Customers
490,1072,1,2531.272,1,1,1,3,Lost / Churned
491,15,18,25399.844,5,5,4,14,Champions
492,105,2,12897.490000000002,4,1,3,8,New / Promising
493,662,6,18765.065,1,3,3,7,Needs Attention
494,470,6,18745.6415,1,3,3,7,Needs Attention
495,77,10,24198.182,4,5,4,13,Champions
496,159,7,9277.925000000001,3,3,2,8,Needs Attention
497,251,9,19534.1595,2,4,4,10,At Risk (High Value)
498,63,9,35884.06,4,4,5,13,Champions
499,29,14,79696.1875,5,5,5,15,Champions
500,121,9,83561.93,3,4,5,12,Needs Attention
501,763,4,1290.002,1,2,1,4,Lost / Churned
502,135,16,22820.146,3,5,4,12,Needs Attention
503,195,4,4598.5475,3,2,1,6,Needs Attention
504,107,7,13796.525,4,4,3,11,Loyal Customers
505,45,13,23642.811999999998,5,5,4,14,Champions
506,755,3,4189.175,1,1,1,3,Lost / Churned
507,25,7,18037.0855,5,4,3,12,Loyal Customers
508,220,7,24272.386000000002,2,4,4,10,At Risk (High Value)
509,327,7,5860.3745,2,4,1,7,Needs Attention
510,204,3,793.38,3,1,1,5,Needs Attention
511,173,7,10399.8755,3,4,2,9,Needs Attention
512,252,3,16429.3,2,1,3,6,Lost / Churned
513,77,7,23881.36,4,4,4,12,Champions
514,41,12,27147.0255,5,5,4,14,Champions
515,246,5,2977.9880000000003,2,2,1,5,Lost / Churned
516,412,4,13235.8,1,2,3,6,Lost / Churned
517,167,2,564.7035,3,1,1,5,Needs Attention
518,503,4,12969.188,1,2,3,6,Lost / Churned
519,131,7,12394.490000000002,3,4,3,10,Needs Attention
520,64,5,6084.9265,4,2,2,8,New / Promising
